merge_id,stratum,split,pass_a,pass_b,final_primary,source,confidence_a,confidence_b,secondary_a,secondary_b
recruit-tech_redpen__58d3096f6c,A,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,medium,medium,,
relayrides_pushy__21150905f2,B,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
relayrides_pushy__6badde9538,A,derivation,indeterminate,indeterminate,indeterminate,agree-sampled-accepted,medium,medium,,
sailthru_sailthru-java-client__ee1f917600,A,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
samskivert_jmustache__940af397c4,A,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
sander2798_enderstone__3de930e0ed,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
sander2798_enderstone__9d0d7b7ba8,B,derivation,stale-usage-of-pruned-import,stale-expectation-of-changed-behavior,stale-usage-of-pruned-import,ali-ruling,high,medium,,overlapping-edit-interleaving
sander2798_enderstone__b515bac1b0,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
sander2798_enderstone__df0826f63b,B,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
sander2798_enderstone__febdb02eb3,B,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,overlapping-edit-interleaving
sandergielisse_enderstone__3de930e0ed,A,heldout,none-identified,none-identified,none-identified,agree-sampled-accepted,high,high,,
sandergielisse_enderstone__9d0d7b7ba8,B,heldout,stale-expectation-of-changed-behavior,stale-usage-of-pruned-import,stale-usage-of-pruned-import,ali-ruling,high,medium,,stale-expectation-of-changed-behavior
sandergielisse_enderstone__b515bac1b0,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
sandergielisse_enderstone__df0826f63b,B,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
sandergielisse_enderstone__febdb02eb3,B,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree-sampled-accepted,high,high,,
sbtourist_journal.io__f13d15914f,B,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,overlapping-edit-interleaving
scribble_scribble-java__e72f7c9c06,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
segmentio_analytics-java__0d4a7b4e69,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree-sampled-accepted,high,high,,
skyscreamer_nevado__cdc23cde46,A,heldout,none-identified,indeterminate,none-identified,ali-ruling,medium,medium,,
softinstigate_restheart__98dda32101,A,derivation,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,overlapping-edit-interleaving,
softinstigate_restheart__b196d4fc15,A,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
softinstigate_restheart__d8673744dc,A,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
softinstigate_restheart__dc14776b02,B,derivation,none-identified,stale-usage-of-pruned-import,stale-usage-of-pruned-import,ali-ruling,medium,high,,
sonarcommunity_sonar-php__b155c33852,B,heldout,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,agree,medium,medium,,
sonarcommunity_sonar-scm-activity__e078d44db1,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
sonarsource_sonar-findbugs__b2fd863305,B,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,stale-usage-of-pruned-import,
spigotmc_bungeecord__760d3618d3,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
spigotmc_bungeecord__78083158f5,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
spigotmc_bungeecord__7b3dcf9d69,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
spigotmc_bungeecord__84babbd5fe,B,derivation,none-identified,none-identified,none-identified,agree,high,medium,,
spigotmc_bungeecord__8943fe2bd2,B,derivation,overlapping-edit-interleaving,none-identified,none-identified,ali-ruling,medium,medium,,
spigotmc_bungeecord__96db0c71b8,B,heldout,indeterminate,none-identified,none-identified,ali-ruling,medium,medium,,
spigotmc_bungeecord__9fa5e74c10,B,heldout,none-identified,none-identified,none-identified,agree,medium,high,,
spigotmc_bungeecord__b71e3b33f3,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
sps_pushover4j__88cd636fab,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
square_javapoet__d019b6f624,A,derivation,stale-usage-of-pruned-import,none-identified,stale-usage-of-pruned-import,ali-ruling,medium,medium,,
sstrickx_yahoofinance-api__216ad70070,A,heldout,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,medium,medium,,
steveice10_mcprotocollib__5c8a435832,A,derivation,indeterminate,none-identified,indeterminate,ali-ruling,medium,medium,,
steveice10_mcprotocollib__8a7d7b196b,B,heldout,indeterminate,stale-usage-of-pruned-import,stale-usage-of-pruned-import,ali-ruling,medium,high,,
steveice10_mcprotocollib__b767a94417,B,heldout,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
stevespringett_dependency-check-sonar-plugin__03377193d3,B,derivation,duplicate-concurrent-addition,duplicate-concurrent-addition,duplicate-concurrent-addition,agree,high,high,,
stratehm_stratum-proxy__45364d27bd,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
structr_structr__6738b144bb,B,derivation,indeterminate,none-identified,none-identified,ali-ruling,medium,medium,,
sviperll_static-mustache__271693c779,B,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration
swagger-api_swagger-parser__41ccee4da3,A,derivation,none-identified,flaky-suspect,none-identified,ali-ruling,high,medium,,
swagger-api_swagger-parser__59a85a29da,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
tabulapdf_tabula-java__767699f3aa,A,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
tcurdt_jdeb__77d052996a,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
thenewcircle_spring-hibernate-20120924__7ec9c1b4bb,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
tridentsdk_tridentsdk__004679e5bb,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
tumblr_jumblr__31bd6f8335,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
urbanairship_datacube__641b92c0fc,B,heldout,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,medium,high,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration
urbanairship_datacube__b8bef94f4d,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
urbanairship_java-library__bbe0297a10,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree-sampled-accepted,high,high,,
vijay2win_flume-cassandra-sink__38cdbeced7,B,derivation,none-identified,none-identified,none-identified,agree,high,medium,,
vkostyukov_la4j__843d8ff9de,B,derivation,none-identified,indeterminate,indeterminate,ali-ruling,medium,medium,,
vkostyukov_la4j__d216aa8928,A,derivation,indeterminate,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,ali-ruling,medium,medium,,
vojtechhabarta_typescript-generator__51835d3c16,A,heldout,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,medium,high,stale-usage-of-pruned-import,stale-usage-of-pruned-import
winder_universal-g-code-sender__84d687330a,A,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
winder_universal-g-code-sender__bc742cb4c4,A,derivation,none-identified,none-identified,none-identified,agree,medium,high,,
winder_universal-g-code-sender__c93fec43ee,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
wordnik_swagger-codegen__dbadd9a831,B,heldout,indeterminate,none-identified,indeterminate,ali-ruling,medium,high,,
xebia_xebium__2808ba14a8,A,derivation,none-identified,none-identified,none-identified,agree,high,medium,,
xebia_xebium__a82603c978,A,derivation,indeterminate,stale-reference-to-renamed-or-relocated-declaration,indeterminate,ali-ruling,medium,medium,,
yandex-qatools_postgresql-embedded__6e15a53c7e,B,derivation,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,agree,high,medium,,
zxing_zxing__26d5d13836,B,heldout,none-identified,indeterminate,none-identified,ali-ruling,medium,medium,,
